/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
192.168.173.95 - - [16/Feb/2021:18:27:18 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:27:19 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:27:20 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:27:20 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:27:21 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:45 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:48 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:48 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:49 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:49 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:50 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:50 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:50 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:51 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:51 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:51 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:51 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:52 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:52 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:52 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:52 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:53 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:53 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:53 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:53 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:54 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:54 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:54 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:54 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.9.192 - - [16/Feb/2021:18:28:55 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:35 +0000] "GET /api/v0/users/ HTTP/1.1" 200 43 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:46 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:47 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:47 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:48 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:48 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:48 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:48 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:49 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:49 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:49 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:31:50 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.65.22 - - [16/Feb/2021:18:31:57 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:31:57 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:31:57 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:31:58 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:31:58 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:31:58 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:31:59 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:31:59 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:32:00 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:32:00 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:32:01 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:32:02 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.128.35 - - [16/Feb/2021:18:32:05 +0000] "GET /api/v0/users/ HTTP/1.1" 200 408 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:32:08 +0000] "GET /api/v0/users/ HTTP/1.1" 200 262 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.128.35 - - [16/Feb/2021:18:32:11 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
